hidden_layer_sizes,learning_rate_init,batch_size,alpha,n_iter,final_loss,dev_accuracy,dev_balanced_accuracy,dev_precision_damaged_0,dev_recall_damaged_0,dev_f1_damaged_0,dev_precision_good_1,dev_recall_good_1,dev_f1_good_1,dev_roc_auc_damaged_0
"(32,)",0.001,16,0.01,103,0.015533217606665328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,32,0.0001,121,0.0026632928323603745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,32,0.001,121,0.0034705226382986203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.001,32,0.01,121,0.010875431656248996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,8,0.0001,36,0.0004442005052406212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,8,0.001,36,0.002610476301827564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,8,0.01,82,0.0038660224292906943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,16,0.0001,38,0.000315405383238278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,16,0.001,38,0.0019236379254733127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,16,0.01,86,0.003945148652992352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,32,0.0001,42,0.00027481454461553205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,32,0.001,42,0.0011939303667765093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32,)",0.01,32,0.01,47,0.007168873584268624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,8,0.0001,206,0.00499374177527959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,8,0.001,206,0.008883575762449422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,8,0.01,260,0.035336893319565466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,16,0.0001,276,0.00817667543376475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,16,0.001,276,0.010255845981844676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,16,0.01,280,0.029089076726342807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,32,0.0001,386,0.013651773275153474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,32,0.001,386,0.01468756180442034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,32,0.01,386,0.02474176827034141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,8,0.0001,69,0.0010791256634649661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,8,0.001,69,0.004947797296848711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,8,0.01,173,0.00814273857726514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,16,0.0001,84,0.0013346611211267317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,16,0.001,82,0.0035740075950434166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,16,0.01,125,0.015130080230275527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
