pipeline,n_samples,n_anomaly,n_healthy,true_negative,false_positive,false_negative,true_positive,sensitivity_healthy_1,specificity_anomaly_0,accuracy,balanced_accuracy,recall_healthy_1,precision_healthy_1,f1_healthy_1,recall_anomaly_0,precision_anomaly_0,f1_anomaly_0,roc_auc_anomaly_0,fold
mid_averaged,80,40,40,40,0,3,37,0.925,1.0,0.9625,0.9625,0.925,1.0,0.961038961038961,1.0,0.9302325581395349,0.963855421686747,1.0,fold_1
mid_averaged,80,40,40,40,0,24,16,0.4,1.0,0.7,0.7,0.4,1.0,0.5714285714285715,1.0,0.625,0.7692307692307693,0.9818749999999999,fold_2
mid_averaged,80,40,40,40,0,40,0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.98375,fold_3
mid_averaged,80,40,40,40,0,13,27,0.675,1.0,0.8375,0.8375,0.675,1.0,0.8059701492537313,1.0,0.7547169811320755,0.8602150537634409,0.995625,fold_4
