pipeline,n_samples,n_anomaly,n_healthy,true_negative,false_positive,false_negative,true_positive,sensitivity_healthy_1,specificity_anomaly_0,accuracy,balanced_accuracy,recall_healthy_1,precision_healthy_1,f1_healthy_1,recall_anomaly_0,precision_anomaly_0,f1_anomaly_0,roc_auc_anomaly_0,sID
mid_averaged,160,80,80,80,0,47,33,0.4125,1.0,0.70625,0.70625,0.4125,1.0,0.5840707964601769,1.0,0.6299212598425197,0.7729468599033816,0.96390625,Ch1
mid_averaged,160,80,80,80,0,33,47,0.5875,1.0,0.79375,0.79375,0.5875,1.0,0.7401574803149606,1.0,0.7079646017699115,0.8290155440414507,0.9928125,Ch2
