pipeline,n_samples,n_anomaly,n_healthy,true_negative,false_positive,false_negative,true_positive,sensitivity_healthy_1,specificity_anomaly_0,accuracy,balanced_accuracy,recall_healthy_1,precision_healthy_1,f1_healthy_1,recall_anomaly_0,precision_anomaly_0,f1_anomaly_0,roc_auc_anomaly_0,sID
per_measurement,280,80,200,80,0,82,118,0.59,1.0,0.7071428571428572,0.7949999999999999,0.59,1.0,0.7421383647798743,1.0,0.49382716049382713,0.6611570247933884,0.8651249999999999,Ch1
per_measurement,280,80,200,80,0,38,162,0.81,1.0,0.8642857142857143,0.905,0.81,1.0,0.8950276243093923,1.0,0.6779661016949152,0.8080808080808081,0.9909375,Ch2
