pipeline,n_samples,n_anomaly,n_healthy,true_negative,false_positive,false_negative,true_positive,sensitivity_healthy_1,specificity_anomaly_0,accuracy,balanced_accuracy,recall_healthy_1,precision_healthy_1,f1_healthy_1,recall_anomaly_0,precision_anomaly_0,f1_anomaly_0,roc_auc_anomaly_0,fold
per_measurement,160,40,120,40,0,15,105,0.875,1.0,0.90625,0.9375,0.875,1.0,0.9333333333333333,1.0,0.7272727272727273,0.8421052631578948,0.9777083333333333,fold_1
per_measurement,80,40,40,40,0,5,35,0.875,1.0,0.9375,0.9375,0.875,1.0,0.9333333333333333,1.0,0.8888888888888888,0.9411764705882353,0.999375,fold_2
per_measurement,80,40,40,40,0,2,38,0.95,1.0,0.975,0.975,0.95,1.0,0.9743589743589743,1.0,0.9523809523809523,0.975609756097561,0.991875,fold_3
per_measurement,240,40,200,40,0,98,102,0.51,1.0,0.5916666666666667,0.755,0.51,1.0,0.6754966887417219,1.0,0.2898550724637681,0.44943820224719105,0.90225,fold_4
