hidden_layer_sizes,learning_rate_init,batch_size,alpha,n_iter,final_loss,dev_accuracy,dev_balanced_accuracy,dev_precision_damaged_0,dev_recall_damaged_0,dev_specificity_damaged_0,dev_npv_damaged_0,dev_f1_damaged_0,dev_precision_good_1,dev_recall_good_1,dev_f1_good_1,dev_matthews_corrcoef,dev_roc_auc_damaged_0
"(64,)",0.0001,8,0.01,311,0.04841340350605331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,16,0.0001,393,0.01546833655857005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,16,0.001,393,0.017726210763880416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,16,0.01,404,0.038263019146837746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,32,0.0001,523,0.022887124744919427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,32,0.001,523,0.024016087169462026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.0001,32,0.01,526,0.03488610755650886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,8,0.0001,89,0.002018227038802918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,8,0.001,89,0.005995039053150463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,8,0.01,234,0.015037015383785733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,16,0.0001,110,0.002625272153327561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,16,0.001,109,0.004981436532759153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,16,0.01,126,0.02256565726707948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,32,0.0001,136,0.004002660354102234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,32,0.001,134,0.005269703137435417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.001,32,0.01,136,0.016093248728747574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,8,0.0001,36,0.0005998680143083871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,8,0.001,35,0.004384918325450384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,8,0.01,99,0.004335909676115457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,16,0.0001,39,0.0003974358832581362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,16,0.001,38,0.0028885581053382076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,16,0.01,109,0.004440494862257217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,32,0.0001,42,0.0002153441824949906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,32,0.001,42,0.0016333481453290753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(64,)",0.01,32,0.01,75,0.009610508420864049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,8,0.0001,321,0.007576752352701361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,8,0.001,323,0.011622554738000624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,8,0.01,334,0.04904340697964647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,16,0.0001,436,0.012443478453604523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,16,0.001,436,0.014853910428308255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,16,0.01,437,0.037761939151690634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,32,0.0001,602,0.019167489895751802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,32,0.001,602,0.020365651258439914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.0001,32,0.01,602,0.03214981242859857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,8,0.0001,87,0.00137938734706896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,8,0.001,86,0.0056500618370022996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,8,0.01,248,0.01627118754123059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,16,0.0001,107,0.0018368203618560714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,16,0.001,104,0.00440535731496177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,16,0.01,125,0.02351232319637939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,32,0.0001,143,0.0025677275329401114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,32,0.001,143,0.0038051844478151973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.001,32,0.01,143,0.015492555216951616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,8,0.0001,38,0.0005810572991856736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,8,0.001,38,0.004297376700349021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,8,0.01,102,0.005778702211934151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,16,0.0001,41,0.0003610819737889364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,16,0.001,40,0.0028737513201595624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,16,0.01,107,0.005263743783952455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,32,0.0001,44,0.00019029369893449068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,32,0.001,44,0.0016511142271753226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(32, 16)",0.01,32,0.01,82,0.00944205803973117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(16,)",0.0001,32,0.0001,513,0.027989258545975337,0.9583333333333334,0.875,1.0,0.75,1.0,0.9523809523809523,0.8571428571428571,0.9523809523809523,1.0,0.975609756097561,0.8451542547285166,1.0
"(16,)",0.0001,32,0.001,513,0.02850054067150256,0.9583333333333334,0.875,1.0,0.75,1.0,0.9523809523809523,0.8571428571428571,0.9523809523809523,1.0,0.975609756097561,0.8451542547285166,1.0
"(16,)",0.0001,32,0.01,513,0.03356325703686036,0.9583333333333334,0.875,1.0,0.75,1.0,0.9523809523809523,0.8571428571428571,0.9523809523809523,1.0,0.975609756097561,0.8451542547285166,1.0
